"week","channel","partner","planned_spend"
2026-04-06,"Audio","Spotify",8000
2026-04-06,"Display","Trade Desk",15700
2026-04-06,"Search","Bing",6600
2026-04-06,"Search","Google",10300
2026-04-06,"Social","Meta",12400
2026-04-06,"Social","TikTok",3100
2026-04-06,"TV","ESPN",40400
2026-04-06,"TV","NBC",44800
2026-04-13,"Audio","Spotify",7400
2026-04-13,"Display","Trade Desk",16300
2026-04-13,"Search","Bing",6400
2026-04-13,"Search","Google",12600
2026-04-13,"Social","Meta",15000
2026-04-13,"Social","TikTok",3200
2026-04-13,"TV","ESPN",41700
2026-04-13,"TV","NBC",44900
2026-04-20,"Audio","Spotify",8100
2026-04-20,"Display","Trade Desk",2500
2026-04-20,"Search","Bing",6400
2026-04-20,"Search","Google",13200
2026-04-20,"Social","Meta",14900
2026-04-20,"Social","TikTok",3500
2026-04-20,"TV","ESPN",45000
2026-04-20,"TV","NBC",40600
2026-04-27,"Audio","Spotify",7600
2026-04-27,"Display","Trade Desk",2500
2026-04-27,"Search","Bing",6000
2026-04-27,"Search","Google",15500
2026-04-27,"Social","Meta",18500
2026-04-27,"Social","TikTok",3400
2026-04-27,"TV","ESPN",45200
2026-04-27,"TV","NBC",44200
2026-05-04,"Audio","Spotify",7800
2026-05-04,"Display","Trade Desk",2500
2026-05-04,"Search","Bing",7000
2026-05-04,"Search","Google",16800
2026-05-04,"Social","Meta",20100
2026-05-04,"Social","TikTok",3200
2026-05-04,"TV","ESPN",26300
2026-05-04,"TV","NBC",43000
2026-05-11,"Audio","Spotify",8200
2026-05-11,"Display","Trade Desk",2300
2026-05-11,"Search","Bing",6400
2026-05-11,"Search","Google",18400
2026-05-11,"Social","Meta",20200
2026-05-11,"Social","TikTok",8200
2026-05-11,"TV","ESPN",27900
2026-05-11,"TV","NBC",42100
2026-05-18,"Audio","Spotify",8400
2026-05-18,"Display","Trade Desk",17100
2026-05-18,"Search","Bing",7000
2026-05-18,"Search","Google",18700
2026-05-18,"Social","Meta",22100
2026-05-18,"Social","TikTok",9500
2026-05-18,"TV","ESPN",28300
2026-05-18,"TV","NBC",43600
2026-05-25,"Audio","Spotify",8100
2026-05-25,"Display","Trade Desk",17800
2026-05-25,"Search","Bing",6900
2026-05-25,"Search","Google",21000
2026-05-25,"Social","Meta",24800
2026-05-25,"Social","TikTok",10800
2026-05-25,"TV","ESPN",29800
2026-05-25,"TV","NBC",39500
2026-06-01,"Audio","Spotify",7700
2026-06-01,"Display","Trade Desk",2400
2026-06-01,"Search","Bing",6600
2026-06-01,"Search","Google",20100
2026-06-01,"Social","Meta",27200
2026-06-01,"Social","TikTok",12500
2026-06-01,"TV","ESPN",10600
2026-06-01,"TV","NBC",43100
2026-06-08,"Audio","Spotify",7500
2026-06-08,"Display","Trade Desk",2400
2026-06-08,"Search","Bing",7000
2026-06-08,"Search","Google",24500
2026-06-08,"Social","Meta",30400
2026-06-08,"Social","TikTok",13200
2026-06-08,"TV","ESPN",12100
2026-06-08,"TV","NBC",43400
2026-06-15,"Audio","Spotify",7500
2026-06-15,"Display","Trade Desk",2300
2026-06-15,"Search","Bing",6600
2026-06-15,"Search","Google",22800
2026-06-15,"Social","Meta",31100
2026-06-15,"Social","TikTok",15600
2026-06-15,"TV","ESPN",12000
2026-06-15,"TV","NBC",41700
2026-06-22,"Audio","Spotify",7800
2026-06-22,"Display","Trade Desk",16300
2026-06-22,"Search","Bing",6300
2026-06-22,"Search","Google",24900
2026-06-22,"Social","Meta",32000
2026-06-22,"Social","TikTok",15100
2026-06-22,"TV","ESPN",10500
2026-06-22,"TV","NBC",43500
2026-06-29,"Audio","Spotify",8200
2026-06-29,"Display","Trade Desk",16800
2026-06-29,"Search","Bing",6300
2026-06-29,"Search","Google",29300
2026-06-29,"Social","Meta",35200
2026-06-29,"Social","TikTok",17200
2026-06-29,"TV","ESPN",11200
2026-06-29,"TV","NBC",44900
